codice_istat,nome_comune,lat,lon
28017,Campodarsego,45.499455610509266,11.921223711874074
28018,Campodoro,45.49785869310302,11.752604572560942
27003,Campolongo Maggiore,45.33419229682527,12.06834548605588
27004,Camponogara,45.37649210281071,12.092244897926106
28019,Camposampiero,45.57409458343178,11.927351923878438
25023,Canale d'Agordo,46.33486818554091,11.90158627744181
29009,Canaro,44.94042656271813,11.687710204943238
29010,Canda,45.04685905863227,11.516530725461497
28021,Candiana,45.22322911389138,11.981070528622261
27005,Caorle,45.63690340990999,12.896485044818252
26007,Cappella Maggiore,45.98003931609213,12.347831397669761
23018,Caprino Veronese,45.625424912656975,10.807266257134868
26008,Carbonera,45.707738463121665,12.29634008197442
28023,Carmignano di Brenta,45.63486819779071,11.698384364763747
24024,Carr̬,45.74314936150181,11.465079840158689
24025,Cartigliano,45.70661647201816,11.69617730566867
28026,Cartura,45.27047220954432,11.870363420973312
28027,Casale di Scodosia,45.183622210448355,11.480034033349181
26009,Casale sul Sile,45.6061466304802,12.312128484155648
23019,Casaleone,45.151343406735386,11.197602197339188
28028,Casalserugo,45.30391291822302,11.914298097375307
26010,Casier,45.62764281036632,12.25814555959408
24026,Cassola,45.74760295136225,11.765736196605511
23020,Castagnaro,45.09279924975695,11.406735916225863
24027,Castegnero,45.436334175090224,11.608720738103978
23021,Castel d'Azzano,45.35954488830566,10.945603519345013
28029,Castelbaldo,45.130738034807614,11.451264830696548
26011,Castelcucco,45.829601353287394,11.888328097415883
26012,Castelfranco Veneto,45.66034707019202,11.928806354664607
24028,Castelgomberto,45.5877153203158,11.40205467524645
29011,Castelguglielmo,45.011706508382844,11.54453364401385
26013,Castello di Godego,45.693720429268424,11.872127640624328
29012,Castelmassa,45.02119210088427,11.319479195191668
29013,Castelnovo Bariano,45.0539835289665,11.317854873409269
23022,Castelnuovo del Garda,45.43988839201236,10.7614086582142
23023,Cavaion Veronese,45.53084630911015,10.774571899326613
27044,Cavallino-Treporti,45.462611554516286,12.483740037378869
27006,Cavarzere,45.11483894423823,12.126123763369735
26014,Cavaso del Tomba,45.86470432789597,11.904601915559349
23024,Cazzano di Tramigna,45.47607196301754,11.212421951031082
27007,Ceggia,45.68304878657911,12.643667506542828
25010,Cencenighe Agordino,46.347632545308606,11.969590858495996
29014,Ceneselli,45.022881453780435,11.367837042728082
23025,Cerea,45.15953859497544,11.248345231840279
29015,Ceregnano,45.0434684845633,11.915167857154687
23026,Cerro Veronese,45.568688188516155,11.03662844325981
28030,Cervarese Santa Croce,45.39980612298282,11.700961207610696
25011,Cesiomaggiore,46.10626379803398,11.94771833861749
26015,Cessalto,45.709831689779904,12.629697219317181
24029,Chiampo,45.54675122498077,11.280527153918353
26016,Chiarano,45.73191316894555,12.567500304592297
25012,Chies d'Alpago,46.17307554953063,12.416529890812352
27008,Chioggia,45.219130975861916,12.227642224911934
24030,Chiuppano,45.76073376104661,11.47218702901919
25013,Cibiana di Cadore,46.37714516667549,12.268720593397566
26017,Cimadolmo,45.77897154075852,12.352549376543706
27009,Cinto Caomaggiore,45.82138280808106,12.783024104220868
28031,Cinto Euganeo,45.2894928551329,11.673380756164452
26018,Cison di Valmarino,45.97558751298715,12.167213914821412
28032,Cittadella,45.64525112577275,11.781375927152858
28033,Codevigo,45.25766927746635,12.144875512981127
26019,Codogn̬,45.871860557462,12.439707043684567
24032,Cogollo del Cengio,45.81128767702896,11.412275652185128
24126,Colceresa,45.72158480395399,11.610058910566439
25014,Colle Santa Lucia,46.47006676897569,12.017090346464093
26020,Colle Umberto,45.94484604129192,12.348653686252659
23027,Cologna Veneta,45.311112018809794,11.385048941021429
23028,Colognola ai Colli,45.42421513209932,11.1829930034591
25015,Comelico Superiore,46.619413161149396,12.466483377175832
27010,Cona,45.18041282205518,12.069267337713248
23029,Concamarise,45.20431618989159,11.147729572503724
27011,Concordia Sagittaria,45.72139297483066,12.822326460122367
26021,Conegliano,45.90414511104254,12.305976516605181
28034,Conselve,45.22864590547557,11.879663379894376
29017,Corbola,44.99850531062974,12.114205958340992
26022,Cordignano,45.96730436741725,12.413951929277452
24034,Cornedo Vicentino,45.6182902836164,11.356984974452677
26023,Cornuda,45.827897762959054,11.996749833414423
28035,Correzzola,45.21687551594766,12.07903580208949
25016,Cortina d'Ampezzo,46.56732209976719,12.13683489075112
29018,Costa di Rovigo,45.05201057669235,11.702976871588842
24035,Costabissara,45.59057676754767,11.486289495151926
23030,Costermano sul Garda,45.589945919735335,10.735171842832806
24036,Creazzo,45.53697142631272,11.471054276763994
24037,Crespadoro,45.65266460549119,11.188585376265742
29019,Crespino,45.00087407597836,11.885906949457624
26025,Crocetta del Montello,45.82913471153881,12.068963611028563
28036,Curtarolo,45.521193597198945,11.846402455917108
25017,Danta di Cadore,46.561870654879584,12.505727833841235
23031,Dolc̬,45.60715753657561,10.867577140092346
27012,Dolo,45.420476850216595,12.093497002013837
25018,Domegge di Cadore,46.449003024094345,12.42415544737741
28106,Due Carrare,45.3016539137417,11.831133267737226
